#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-03-03T00:49:17 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-03-03T00:49:17	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/587/A160/tablea1&-out=Galaxy,Dist,hz,e_hz1,e_hz2&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35870160
#Name: J/A+A/587/A160
#Title: 3.6um S4G Galactic bars characterization (Diaz-Garcia+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/a+a/587/a160	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/587/a160	    IVOID of underlying data collection
#INFO	creator=Diaz-Garcia S.	    First author or institution
#INFO	cites=bibcode:2016A&A...587A.160D	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/587/A160	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35870160	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-01-08	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_A_A_587_A160_tablea1:
#Name: J/A+A/587/A160/tablea1
#Title: Fundamental properties of S4G galaxies: distance, mass distribution, velocities and stellar disk
#Column	Galaxy	(a10)	Galaxy identification	[ucd=meta.id;src.class.starGalaxy;meta.main]
#Column	Dist	(F7.3)	Distance to the galaxy	[ucd=pos.distance]
#Column	hz	(F6.3)	Disk scale-height	[ucd=phys.angSize;src]
#Column	e_hz1	(F7.3)	[] Uncertainty on the disk scale-height associated with a thicker disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	e_hz2	(F7.3)	[] Uncertainty on the disk scale-height associated with a thinner disk in de Grijs/Speltincx relation	[ucd=stat.error]
Galaxy	Dist	hz	e_hz1	e_hz2
NGC2967   	 30.900	 1.656	  1.324	 -0.414
NGC2968   	 13.890	 7.282	 21.845	 -1.456
NGC2974   	 24.730	 8.379	 25.137	 -1.676
NGC2976   	  3.611	 6.152	  4.921	 -1.538
NGC2978   	 85.375	 1.387	  0.925	 -0.396
NGC2985   	 21.500	 7.610	  7.610	 -3.805
NGC3018   	 25.889	 2.350	  2.350	 -1.175
NGC3020   	 28.450	 2.324	  1.859	 -0.581
NGC3021   	 27.288	 1.743	  1.162	 -0.498
NGC3023   	 31.460	 2.909	  2.327	 -0.727
NGC3031   	  3.692	37.718	113.153	 -7.544
NGC3032   	 22.860	 3.203	  9.609	 -0.641
NGC3041   	 26.350	 5.973	  3.982	 -1.707
NGC3049   	 30.775	 4.698	  3.132	 -1.342
NGC3055   	 31.614	 1.609	  1.287	 -0.402
NGC3057   	 25.700	 2.399	  1.919	 -0.600
NGC3061   	 55.100	 3.138	  2.092	 -0.897
NGC3065   	 34.033	 3.951	 11.852	 -0.790
NGC3066   	 32.400	 1.609	  1.073	 -0.460
NGC3073   	 23.200	 5.205	 15.614	 -1.041
NGC3077   	  3.557	10.920	 10.920	 -5.460
NGC3094   	 39.220	 2.490	  2.490	 -1.245
NGC3104   	  9.400	 3.673	  2.938	 -0.918
NGC3115   	 10.172	16.460	 16.460	 -8.230
NGC3147   	 41.500	 4.587	  3.058	 -1.311
NGC3153   	 39.600	 1.729	  1.383	 -0.432
NGC3155   	 51.400	 1.608	  1.072	 -0.459
NGC3162   	 26.660	 3.316	  2.211	 -0.948
NGC3165   	 18.514	 1.512	  1.210	 -0.378
NGC3166   	 22.000	 9.830	 29.491	 -1.966
NGC3169   	 19.114	 8.570	  8.570	 -4.285
NGC3177   	 24.460	 1.935	  1.290	 -0.553
NGC3182   	 29.583	 3.330	  3.330	 -1.665
NGC3184   	 11.954	11.744	  7.829	 -3.355
NGC3185   	 24.725	 4.444	 13.331	 -0.889
NGC3190   	 23.633	 9.380	  9.380	 -4.690
NGC3206   	 20.725	 2.631	  2.105	 -0.658
NGC3213   	 32.025	 1.081	  0.864	 -0.270
NGC3220   	 16.556	 2.280	  2.280	 -1.140
NGC3225   	 39.529	 1.458	  1.166	 -0.364
NGC3227   	 20.850	 9.260	  9.260	 -4.630
NGC3239   	  8.100	 4.640	  4.640	 -2.320
NGC3246   	 33.700	 1.837	  1.469	 -0.459
NGC3248   	 22.803	 3.550	  3.550	 -1.775
NGC3259   	 34.382	 2.248	  1.499	 -0.642
NGC3264   	 20.720	 2.748	  2.198	 -0.687
NGC3266   	 28.003	 2.990	  2.990	 -1.495
NGC3274   	 13.129	 1.501	  1.200	 -0.375
NGC3277   	 25.000	 4.608	 13.824	 -0.922
NGC3287   	 22.100	 2.172	  1.737	 -0.543
NGC3294   	 29.829	 4.302	  2.868	 -1.229
NGC3299   	  5.400	 3.589	  3.589	 -1.795
NGC3306   	 50.143	 1.161	  0.774	 -0.332
NGC3310   	 18.100	 6.190	  4.127	 -1.769
NGC3319   	 16.497	 6.947	  5.557	 -1.737
NGC3320   	 36.563	 1.545	  1.236	 -0.386
NGC3321   	 44.525	 2.361	  1.889	 -0.590
NGC3329   	 30.300	 2.932	  8.797	 -0.586
NGC3338   	 24.785	 5.931	  3.954	 -1.695
NGC3344   	  6.100	 8.157	  5.438	 -2.331
NGC3346   	 22.400	 3.077	  2.461	 -0.769
NGC3351   	 10.113	14.229	 42.688	 -2.846
NGC3353   	 18.940	 2.260	  2.260	 -1.130
NGC3359   	 18.809	 4.584	  3.668	 -1.146
NGC3364   	 37.917	 2.484	  1.656	 -0.710
NGC3368   	 10.856	12.190	 12.190	 -6.095
NGC3370   	 27.412	 1.426	  1.141	 -0.357
NGC3377A  	  7.215	 2.592	  2.073	 -0.648
NGC3380   	 22.278	 4.439	 13.318	 -0.888
NGC3381   	 22.625	 2.013	  1.610	 -0.503
NGC3384   	 11.586	10.314	 30.941	 -2.063
NGC3389   	 21.286	 2.432	  1.946	 -0.608
NGC3395   	 25.760	 3.720	  3.720	 -1.860
NGC3413   	 16.200	 1.264	  1.011	 -0.316
NGC3414   	 29.025	 6.490	  6.490	 -3.245
NGC3423   	 10.900	 6.643	  4.429	 -1.898
NGC3430   	 29.167	 4.059	  2.706	 -1.160
NGC3433   	 39.500	 4.442	  2.961	 -1.269
NGC3443   	 22.283	 2.919	  2.335	 -0.730
NGC3445   	 22.500	 1.509	  1.207	 -0.377
NGC3447   	 20.100	 4.169	  3.335	 -1.042
NGC3455   	 29.014	 1.366	  1.093	 -0.342
NGC3471   	 26.450	 2.467	  7.402	 -0.493
NGC3485   	 19.917	 3.791	  2.527	 -1.083
NGC3486   	 14.113	 7.321	  5.856	 -1.830
NGC3488   	 48.400	 1.503	  1.202	 -0.376
NGC3489   	  9.576	 5.346	 16.039	 -1.069
NGC3504   	 20.050	 5.962	 17.887	 -1.192
NGC3507   	 15.800	 5.523	  3.682	 -1.578
NGC3512   	 25.000	 2.025	  1.350	 -0.579
NGC3513   	 13.153	 2.754	  2.203	 -0.688
NGC3521   	 12.078	16.440	 16.440	 -8.220
NGC3547   	 27.067	 1.157	  0.925	 -0.289
NGC3583   	 30.800	 2.748	  1.832	 -0.785
NGC3589   	 27.347	 1.841	  1.473	 -0.460
NGC3593   	  5.500	 8.614	 25.842	 -1.723
NGC3596   	 15.450	 4.069	  2.713	 -1.163
NGC3599   	 19.657	 5.924	 17.771	 -1.185
NGC3611   	 33.300	 5.578	 16.733	 -1.116
NGC3614   	 39.567	 4.811	  3.207	 -1.374
NGC3622   	 27.367	 2.230	  2.230	 -1.115
NGC3626   	 23.150	 5.631	 16.892	 -1.126
NGC3627   	 10.011	10.589	  7.059	 -3.025
NGC3629   	 38.914	 1.782	  1.426	 -0.446
NGC3631   	 13.102	 8.456	  5.637	 -2.416
NGC3637   	 28.200	 4.708	 14.125	 -0.942
NGC3642   	 27.500	 7.210	  4.807	 -2.060
NGC3654   	 39.050	 1.142	  0.914	 -0.286
NGC3655   	 30.922	 4.629	  3.086	 -1.323
NGC3659   	 26.433	 1.165	  0.932	 -0.291
NGC3664   	 24.400	 3.020	  2.416	 -0.755
NGC3673   	 24.786	 6.873	 20.619	 -1.375
NGC3675   	 17.200	 7.775	  5.183	 -2.221
NGC3681   	 24.200	 3.237	  9.711	 -0.647
NGC3682   	 20.958	 8.043	 24.130	 -1.609
NGC3683A  	 40.814	 2.963	  1.975	 -0.846
NGC3684   	 23.814	 1.720	  1.376	 -0.430
NGC3686   	 18.612	 5.157	  3.438	 -1.474
NGC3687   	 27.220	 2.299	  1.532	 -0.657
NGC3689   	 41.511	 2.045	  1.363	 -0.584
NGC3691   	 28.275	 1.702	  1.361	 -0.425
NGC3701   	 45.550	 1.329	  1.063	 -0.332
NGC3705   	 18.564	 4.681	  3.121	 -1.337
NGC3715   	 40.667	 1.252	  0.835	 -0.358
NGC3726   	 16.892	 9.446	  6.298	 -2.699
NGC3729   	 20.183	 5.325	 15.976	 -1.065
NGC3730   	 23.847	 1.791	  5.373	 -0.358
NGC3752   	 32.600	 1.319	  1.055	 -0.330
NGC3756   	 21.425	 5.778	  3.852	 -1.651
NGC3757   	 21.321	 2.520	  2.520	 -1.260
NGC3773   	 17.000	 3.356	 10.067	 -0.671
NGC3780   	 42.620	 4.644	  3.096	 -1.327
NGC3782   	 14.633	 1.218	  0.975	 -0.305
NGC3786   	 46.180	 4.330	 12.991	 -0.866
NGC3794   	 19.867	 2.122	  1.697	 -0.530
NGC3795A  	 23.067	 2.496	  1.997	 -0.624
NGC3810   	 18.275	 3.205	  2.564	 -0.801
NGC3846A  	 25.300	 2.390	  2.390	 -1.195
NGC3850   	 17.767	 2.606	  2.085	 -0.652
NGC3870   	 16.900	 2.220	  2.220	 -1.110
NGC3876   	 40.208	 1.850	  1.850	 -0.925
NGC3885   	 27.800	 7.068	 21.203	 -1.414
NGC3887   	 19.300	 4.999	  3.332	 -1.428
NGC3888   	 40.283	 1.853	  1.236	 -0.530
NGC3892   	 27.200	 6.950	  6.950	 -3.475
NGC3893   	 18.129	 2.640	  2.112	 -0.660
NGC3896   	 13.403	 1.820	  1.820	 -0.910
NGC3898   	 21.900	 8.494	 25.482	 -1.699
NGC3900   	 33.800	 4.595	 13.784	 -0.919
NGC3901   	 23.417	 2.307	  1.846	 -0.577
NGC3904   	 24.660	 6.890	  6.890	 -3.445
NGC3906   	 13.347	 2.308	  1.847	 -0.577
NGC3912   	 25.367	 1.184	  0.947	 -0.296
NGC3913   	 17.000	 2.362	  1.890	 -0.591
NGC3928   	 15.975	 3.079	  9.238	 -0.616
NGC3930   	 17.600	 4.260	  3.408	 -1.065
NGC3938   	 17.450	 3.625	  2.900	 -0.906
NGC3941   	 14.175	 5.311	 15.932	 -1.062
NGC3949   	 18.341	 1.773	  1.418	 -0.443
NGC3953   	 18.445	 9.097	  6.065	 -2.599
NGC3982   	 21.973	 2.043	  1.362	 -0.584
NGC3985   	 12.850	 1.094	  0.875	 -0.274
NGC3992   	 24.878	12.237	  8.158	 -3.496
NGC3998   	 21.925	 5.212	 15.636	 -1.042
NGC4020   	  8.000	 1.906	  1.524	 -0.476
NGC4027   	 25.600	 2.516	  2.013	 -0.629
NGC4030   	 24.463	 5.494	  3.662	 -1.570
NGC4032   	 17.611	 1.885	  1.508	 -0.471
NGC4034   	 32.875	 4.063	 12.189	 -0.813
NGC4035   	 21.764	 2.270	  2.270	 -1.135
NGC4037   	 17.200	 3.367	  2.694	 -0.842
NGC4038   	 20.878	 9.320	  9.320	 -4.660
NGC4039   	 20.878	 9.320	  9.320	 -4.660
NGC4041   	 22.700	 2.017	  1.614	 -0.504
NGC4045   	 30.944	 5.438	  3.625	 -1.554
NGC4049   	 11.514	 1.685	  1.348	 -0.421
NGC4050   	 33.722	 7.473	 22.418	 -1.495
NGC4051   	 14.575	 8.604	  5.736	 -2.458
NGC4064   	 10.633	 6.078	 18.233	 -1.216
NGC4067   	 41.150	 1.839	  1.226	 -0.526
NGC4068   	  4.664	 3.303	  2.642	 -0.826
NGC4080   	  7.889	 1.609	  1.287	 -0.402
NGC4102   	 20.381	 4.236	  2.824	 -1.210
NGC4106   	 26.167	 8.280	  8.280	 -4.140
NGC4108   	 35.639	 0.858	  0.687	 -0.215
NGC4108B  	 35.625	 1.543	  1.234	 -0.386
NGC4116   	 21.171	 3.590	  2.872	 -0.897
NGC4117   	 20.200	 4.037	 12.111	 -0.807
NGC4123   	 21.933	 6.988	  4.659	 -1.997
NGC4127   	 32.506	 2.229	  1.486	 -0.637
NGC4133   	 15.900	 2.371	  1.581	 -0.678
NGC4136   	  9.700	 5.385	  3.590	 -1.538
NGC4138   	 15.567	 4.011	 12.032	 -0.802
NGC4141   	 26.417	 1.285	  1.028	 -0.321
NGC4142   	 26.050	 1.764	  1.411	 -0.441
NGC4145   	 18.458	 6.044	  4.835	 -1.511
NGC4151   	  9.898	 6.958	 20.875	 -1.392
NGC4152   	 33.514	 1.112	  0.890	 -0.278
NGC4158   	 56.760	 2.133	  6.398	 -0.427
NGC4162   	 39.133	 1.376	  1.101	 -0.344
NGC4163   	  2.923	 5.020	 15.060	 -1.004
NGC4165   	 45.675	 2.444	  1.629	 -0.698
NGC4189   	 30.411	 4.466	  2.978	 -1.276
NGC4190   	  3.135	 2.169	  1.735	 -0.542
NGC4193   	 37.354	 3.787	 11.361	 -0.757
NGC4194   	 39.100	 2.470	  2.470	 -1.235
NGC4203   	 14.940	 7.077	 21.232	 -1.415
NGC4204   	  7.900	 4.505	  3.604	 -1.126
NGC4210   	 37.944	 2.995	  1.997	 -0.856
NGC4212   	 19.014	 4.160	  2.774	 -1.189
NGC4214   	  3.401	 5.499	  4.399	 -1.375
NGC4234   	 32.900	 1.429	  1.143	 -0.357
NGC4237   	 22.173	 2.954	  1.969	 -0.844
NGC4242   	  7.903	 6.023	  4.818	 -1.506
NGC4245   	  9.700	 6.062	 18.185	 -1.212
NGC4250   	 28.347	 5.649	 16.946	 -1.130
NGC4254   	 15.425	 4.067	  3.254	 -1.017
NGC4262   	 20.510	 3.095	  9.285	 -0.619
NGC4267   	 16.730	 7.022	 21.066	 -1.404
NGC4268   	 29.600	 4.071	 12.212	 -0.814
NGC4273   	 35.189	 1.476	  1.181	 -0.369
NGC4276   	 36.333	 1.781	  1.425	 -0.445
NGC4286   	  8.944	 5.152	 15.455	 -1.030
NGC4288   	 14.833	 1.980	  1.584	 -0.495
NGC4293   	 14.320	12.508	 37.523	 -2.502
NGC4294   	 19.233	 2.376	  1.901	 -0.594
NGC4298   	 15.971	 5.142	  3.428	 -1.469
NGC4299   	 16.800	 1.668	  1.334	 -0.417
NGC4303   	 16.460	 4.048	  3.239	 -1.012
NGC4303A  	 17.806	 1.569	  1.255	 -0.392
NGC4309   	 14.875	 4.766	 14.297	 -0.953
NGC4310   	  9.700	 3.747	 11.241	 -0.749
NGC4314   	  9.700	10.928	 32.785	 -2.186
NGC4319   	 28.200	 6.239	 18.717	 -1.248
NGC4321   	 15.950	11.803	  7.869	 -3.372
NGC4324   	 31.633	 3.699	 11.096	 -0.740
NGC4336   	 13.917	 4.264	 12.793	 -0.853
NGC4344   	 15.917	 2.891	  8.674	 -0.578
NGC4351   	 27.817	 3.706	  2.965	 -0.926
NGC4353   	 28.600	 1.140	  0.912	 -0.285
NGC4355   	 25.350	 3.105	  9.316	 -0.621
NGC4369   	 21.600	 3.625	 10.876	 -0.725
NGC4370   	 31.700	 2.927	  8.781	 -0.585
NGC4371   	 16.800	10.193	 30.580	 -2.039
NGC4376   	 15.792	 1.509	  1.208	 -0.377
NGC4378   	 27.750	 9.471	 28.412	 -1.894
NGC4380   	 20.071	 6.614	  4.410	 -1.890
NGC4384   	 36.600	 0.805	  0.644	 -0.201
NGC4385   	 33.500	 3.386	  2.257	 -0.967
NGC4389   	 15.050	 2.416	  1.933	 -0.604
NGC4390   	 25.340	 1.687	  1.350	 -0.422
NGC4393   	 10.600	 3.459	  2.767	 -0.865
NGC4394   	 16.800	 9.025	 27.075	 -1.805
NGC4395   	  4.491	17.346	 13.877	 -4.336
NGC4405   	 24.181	 3.143	  9.429	 -0.629
NGC4409   	 19.125	 4.370	  4.370	 -2.185
NGC4411A  	 16.800	 2.405	  1.924	 -0.601
NGC4411B  	 16.800	 2.739	  2.191	 -0.685
NGC4412   	 35.600	 2.579	  1.719	 -0.737
NGC4413   	 16.675	 3.972	  2.648	 -1.135
NGC4414   	 18.312	 3.853	  2.568	 -1.101
NGC4416   	 19.306	 1.705	  1.364	 -0.426
NGC4424   	 15.950	 7.179	 21.537	 -1.436
NGC4428   	 41.220	 1.871	  1.247	 -0.534
NGC4430   	 17.000	 2.361	  1.889	 -0.590
NGC4449   	  3.693	 4.687	  3.750	 -1.172
NGC4450   	 16.542	 9.797	 29.390	 -1.959
NGC4451   	 26.600	 3.180	  3.180	 -1.590
NGC4454   	 35.700	 4.854	 14.562	 -0.971
NGC4457   	 17.400	11.320	 33.961	 -2.264
NGC4462   	 26.200	 5.048	 15.143	 -1.010
NGC4470   	 22.471	 1.234	  0.987	 -0.309
NGC4480   	 41.775	 1.653	  1.323	 -0.413
NGC4485   	  9.300	 2.255	  1.804	 -0.564
NGC4487   	 20.040	 3.729	  2.984	 -0.932
NGC4489   	 16.160	 3.683	 11.049	 -0.737
NGC4490   	  8.093	11.740	 11.740	 -5.870
NGC4491   	  6.903	 4.546	 13.638	 -0.909
NGC4496A  	 15.606	 3.355	  2.684	 -0.839
NGC4498   	 17.958	 2.517	  2.013	 -0.629
NGC4501   	 19.133	 7.857	  5.238	 -2.245
NGC4502   	 30.900	 1.026	  0.821	 -0.257
NGC4503   	 17.033	 6.450	 19.350	 -1.290
NGC4504   	 21.814	 3.139	  2.512	 -0.785
NGC4506   	 10.236	 2.920	  2.920	 -1.460
NGC4517A  	 22.680	 4.153	  3.322	 -1.038
NGC4519   	 28.411	 2.596	  2.077	 -0.649
NGC4523   	 16.800	 3.156	  2.524	 -0.789
NGC4525   	 15.687	 2.352	  1.882	 -0.588
NGC4528   	 17.556	 2.094	  6.283	 -0.419
NGC4531   	 15.200	 6.094	 18.281	 -1.219
NGC4532   	 15.589	 2.100	  1.680	 -0.525
NGC4534   	 14.225	 1.919	  1.535	 -0.480
NGC4535   	 16.958	 5.949	  4.760	 -1.487
NGC4536   	 15.321	10.105	  6.737	 -2.887
NGC4540   	 16.800	 1.665	  1.332	 -0.416
NGC4545   	 40.285	 1.731	  1.384	 -0.433
NGC4548   	 16.196	13.298	 39.895	 -2.660
NGC4559   	  9.290	 5.442	  4.353	 -1.360
NGC4561   	 12.300	 1.522	  1.217	 -0.380
NGC4567   	 25.550	 7.780	  7.780	 -3.890
NGC4568   	 21.000	10.480	 10.480	 -5.240
NGC4571   	 17.733	 3.738	  2.991	 -0.935
NGC4572   	 24.097	 5.490	  5.490	 -2.745
NGC4579   	 19.583	11.315	 33.946	 -2.263
NGC4580   	 18.575	 4.097	 12.291	 -0.819
NGC4584   	 24.764	 1.456	  1.165	 -0.364
NGC4591   	 48.067	 2.179	  6.537	 -0.436
NGC4593   	 33.933	 9.215	 27.646	 -1.843
NGC4595   	 16.289	 1.361	  1.089	 -0.340
NGC4596   	 16.800	11.125	 33.374	 -2.225
NGC4597   	 17.000	 4.623	  3.698	 -1.156
NGC4604   	 36.944	 0.850	  0.680	 -0.213
NGC4606   	 17.080	 6.177	 18.532	 -1.235
NGC4618   	  7.300	 7.310	  7.310	 -3.655
NGC4625   	  8.200	 1.541	  1.233	 -0.385
NGC4630   	 17.150	 1.490	  1.192	 -0.373
NGC4633   	 22.600	 2.234	  1.787	 -0.558
NGC4635   	 23.500	 2.356	  1.885	 -0.589
NGC4639   	 22.356	 3.435	  2.290	 -0.982
NGC4641   	 27.944	 6.680	 20.041	 -1.336
NGC4643   	 25.700	 9.719	 29.158	 -1.944
NGC4647   	 18.300	 8.600	  8.600	 -4.300
NGC4651   	 26.708	 9.317	  6.211	 -2.662
NGC4653   	 40.200	 2.957	  1.972	 -0.845
NGC4654   	 16.362	 3.514	  2.811	 -0.878
NGC4658   	 31.780	 1.210	  0.968	 -0.302
NGC4659   	  3.708	 8.088	 24.263	 -1.618
NGC4668   	 16.433	 1.756	  1.405	 -0.439
NGC4680   	 36.625	 1.978	  1.319	 -0.565
NGC4682   	 33.029	 4.171	  2.781	 -1.192
NGC4688   	 17.100	 3.002	  2.401	 -0.750
NGC4689   	 17.891	 7.078	  4.719	 -2.022
NGC4691   	 22.500	 7.041	 21.124	 -1.408
NGC4694   	 15.302	 8.594	 25.781	 -1.719
NGC4698   	 23.650	 8.550	  8.550	 -4.275
NGC4699   	 24.700	15.246	 45.739	 -3.049
NGC4701   	 23.843	 1.811	  1.207	 -0.517
NGC4707   	  8.000	 4.376	  4.376	 -2.188
NGC4713   	 16.367	 2.218	  1.774	 -0.555
NGC4723   	 18.111	 1.650	  1.320	 -0.412
NGC4725   	 13.637	17.647	 52.940	 -3.529
NGC4731   	 19.750	 6.440	  6.440	 -3.220
NGC4733   	 16.933	 4.429	 13.287	 -0.886
NGC4736   	  5.126	17.230	 17.230	 -8.615
NGC4750   	 26.100	 6.401	 19.202	 -1.280
NGC4754   	 17.264	10.175	 30.525	 -2.035
NGC4765   	 21.200	 1.291	  1.033	 -0.323
NGC4772   	 30.475	 8.734	 26.203	 -1.747
NGC4775   	 26.600	 1.947	  1.558	 -0.487
NGC4779   	 40.840	 3.608	  2.405	 -1.031
NGC4781   	 16.125	 2.620	  2.096	 -0.655
NGC4789A  	  4.113	 2.882	  2.306	 -0.721
NGC4790   	 23.520	 2.557	  1.705	 -0.731
NGC4791   	 35.125	 1.171	  3.512	 -0.234
NGC4793   	 32.888	 1.161	  0.929	 -0.290
NGC4795   	 39.056	 5.032	 15.097	 -1.006
NGC4800   	 22.500	 2.942	  8.827	 -0.588
NGC4802   	 11.500	 5.660	  5.660	 -2.830
NGC4806   	 33.444	 0.944	  0.755	 -0.236
NGC4809   	 22.200	 1.965	  1.572	 -0.491
NGC4814   	 41.460	 2.461	  1.641	 -0.703
NGC4826   	  5.341	13.752	 41.257	 -2.750
NGC4880   	 15.700	 6.393	 19.179	 -1.279
NGC4897   	 44.967	 4.150	  2.767	 -1.186
NGC4899   	 34.660	 1.838	  1.470	 -0.459
NGC4900   	 24.714	 2.143	  1.714	 -0.536
NGC4902   	 39.200	 4.163	  2.775	 -1.189
NGC4904   	 22.843	 2.231	  1.785	 -0.558
NGC4920   	 18.542	 1.115	  0.892	 -0.279
NGC4928   	 29.075	 0.944	  0.755	 -0.236
NGC4941   	 18.220	 9.534	 28.601	 -1.907
NGC4942   	 32.560	 1.522	  1.218	 -0.380
NGC4948A  	 26.200	 1.679	  1.344	 -0.420
NGC4961   	 45.186	 1.457	  0.972	 -0.416
NGC4965   	 42.480	 2.609	  2.088	 -0.652
NGC4980   	 19.819	 1.494	  1.195	 -0.373
NGC4981   	 24.722	 4.221	  2.814	 -1.206
NGC4984   	 21.300	12.327	 36.982	 -2.465
NGC4995   	 28.911	 4.113	  2.742	 -1.175
NGC5002   	 15.111	 2.282	  1.826	 -0.571
NGC5012   	 39.278	 3.461	  2.307	 -0.989
NGC5016   	 42.483	 1.138	  0.910	 -0.284
NGC5033   	 19.642	 6.960	  5.568	 -1.740
NGC5042   	 15.633	 3.693	  2.954	 -0.923
NGC5054   	 19.850	 7.118	  4.745	 -2.034
NGC5055   	  8.333	15.444	 10.296	 -4.412
NGC5068   	  6.075	 6.486	  5.189	 -1.621
NGC5079   	 31.600	 2.681	  1.787	 -0.766
NGC5085   	 28.900	 5.528	  3.685	 -1.579
NGC5101   	 27.400	13.150	 39.450	 -2.630
NGC5103   	 17.917	 3.620	  3.620	 -1.810
NGC5105   	 35.467	 1.544	  1.235	 -0.386
NGC5112   	 26.456	 3.828	  3.063	 -0.957
NGC5117   	 39.550	 2.519	  2.015	 -0.630
NGC5134   	 10.889	 5.465	 16.394	 -1.093
NGC5145   	 39.350	 3.050	  3.050	 -1.525
NGC5147   	 21.600	 1.729	  1.383	 -0.432
NGC5194   	  7.908	15.040	 10.026	 -4.297
NGC5195   	  7.908	12.420	 12.420	 -6.210
NGC5204   	  5.154	 3.001	  2.401	 -0.750
NGC5205   	 29.983	 3.724	  2.483	 -1.064
NGC5218   	 51.420	 2.834	  8.503	 -0.567
NGC5236   	  6.960	11.565	  9.252	 -2.891
NGC5238   	  4.863	 2.780	  2.224	 -0.695
NGC5240   	 50.967	 2.900	  1.933	 -0.829
NGC5247   	 22.200	 6.032	  4.826	 -1.508
NGC5248   	 16.883	 6.065	  4.044	 -1.733
NGC5253   	  3.667	 3.458	  2.766	 -0.864
NGC5254   	 33.023	 6.007	  4.005	 -1.716
NGC5264   	  4.467	 3.054	  2.443	 -0.764
NGC5273   	 15.960	 4.489	 13.467	 -0.898
NGC5300   	 21.623	 3.482	  2.785	 -0.870
NGC5311   	 36.736	 7.798	 23.394	 -1.560
NGC5313   	 42.520	 2.448	  1.632	 -0.700
NGC5320   	 35.476	 3.248	  2.166	 -0.928
NGC5334   	 32.620	 7.991	 23.972	 -1.598
NGC5336   	 32.278	 1.025	  0.820	 -0.256
NGC5337   	 52.200	 2.648	  7.945	 -0.530
NGC5338   	 12.800	 4.632	 13.897	 -0.926
NGC5339   	 38.028	 4.040	  2.693	 -1.154
NGC5346   	 40.729	 3.156	  2.104	 -0.902
NGC5347   	 27.300	 3.582	 10.745	 -0.716
NGC5350   	 31.263	 4.810	  3.207	 -1.374
NGC5353   	 33.767	 8.410	  8.410	 -4.205
NGC5364   	 19.513	10.476	  6.984	 -2.993
NGC5371   	 29.483	 6.585	  4.390	 -1.882
NGC5375   	 41.920	 6.613	 19.838	 -1.323
NGC5376   	 44.550	 2.676	  1.784	 -0.765
NGC5377   	 27.500	 7.480	  7.480	 -3.740
NGC5383   	 37.640	 6.089	 18.268	 -1.218
NGC5426   	 39.680	 4.190	  4.190	 -2.095
NGC5427   	 33.750	 4.172	  2.781	 -1.192
NGC5430   	 39.883	 3.457	  2.305	 -0.988
NGC5452   	 33.050	 2.653	  1.769	 -0.758
NGC5457   	  6.925	14.072	 11.258	 -3.518
NGC5464   	 33.767	 0.979	  0.783	 -0.245
NGC5468   	 44.529	 2.502	  2.002	 -0.626
NGC5473   	 33.400	 4.404	 13.211	 -0.881
NGC5474   	  6.490	 4.390	  4.390	 -2.195
NGC5476   	 36.931	 1.305	  1.044	 -0.326
NGC5477   	  6.400	 1.963	  1.571	 -0.491
NGC5480   	 28.633	 1.381	  1.105	 -0.345
NGC5486   	 34.240	 1.600	  1.280	 -0.400
NGC5507   	 34.300	 3.205	  9.615	 -0.641
NGC5520   	 38.933	 2.322	  1.548	 -0.663
NGC5534   	 31.800	 3.803	 11.409	 -0.761
NGC5569   	 17.400	 2.679	  2.143	 -0.670
NGC5574   	 23.950	 3.930	  3.930	 -1.965
NGC5584   	 26.736	 3.515	  2.812	 -0.879
NGC5585   	  8.651	 4.779	  3.823	 -1.195
NGC5595   	 36.160	 1.480	  1.184	 -0.370
NGC5597   	 38.600	 2.370	  1.896	 -0.593
NGC5600   	 87.840	 1.091	  0.873	 -0.273
NGC5602   	 30.833	 3.853	 11.560	 -0.771
NGC5604   	 41.800	 3.000	  3.000	 -1.500
NGC5608   	 15.200	 2.447	  1.957	 -0.612
NGC5624   	 26.708	 1.189	  0.951	 -0.297
